# I 136 fatti con status='quarantined' e grounding_score >= 99
# estratti da ws6 il 2026-08-28 alle 23:55 da CONFIG.semantic_db (mode=ro)
# ⚠️ il corpus si muove: erano 131 il 27/08. Rifai la query, non fidarti di questo file domani.
# colonne: id	grounding	quarantined_by	topic
34073a48e1e2	99.9429	gate	project/verimem/ws1/riesame-quarantena-09-08
54d5024153b4	99.9417	L4.1	project/verimem/pubblicato-vs-repo
2bdea74c5d8b	99.9417	L4.1	project/verimem/pubblicato-vs-repo
3b457d579855	99.9390	L4.1	project/verimem/il-veto-del-publish-e-una-serie-temporale-28-08
72df1542a10f	99.9381		project/claude-md-audit
d20c17e7edd6	99.9354	L4.1	project/verimem/giro-ws4-26-08
782c3103904f	99.9354	L4.1	project/verimem/giro-ws4-26-08
a6810862273c	99.9340	gate	project/verimem/ws1-ab-identificatore
48e3762a6b42	99.9322	L4.1	project/verimem/vaghezza-solo-col-rapporto
d1b4237959da	99.9322	L3-coexistence	project/verimem/vaghezza-solo-col-rapporto
c5c715919853	99.9322	L4.1	project/verimem/vaghezza-solo-col-rapporto
f69b677da9e8	99.9287	L1	project/verimem/ci-durata-mediana-49-minuti
a42d1d703812	99.9272	gate	project/verimem/guardia-cache-muore-non-dice-no
482a7cd0d0f1	99.9248	gate	lessons/errors/ws4-cron-spento-1208
167b63817a71	99.9224	gate	project/verimem/ws3-runner-saturi-1324
57e29447b182	99.9123	gate	project/verimem/ws1-la-terza-colonna-sull-artefatto-vecchio
075b2e46224b	99.9105	gate	project/verimem/ws1-windows-timeout
9ae534a37f65	99.9056	gate	q4/mcp1
5e6cc22b4a1c	99.9005	gate	project/verimem/ws3-gt-non-costruibile-da-episodi
cea3eb03f856	99.9005	gate	project/verimem/ws3-dogfood-1
8252b62c5042	99.8982	gate	q4/mcp2
ae1136d75e2b	99.8949	L1	project/verimem/ci-durata-mediana-49-minuti
cd7b2fcc2639	99.8895	L4.1	project/verimem/swarm-mcp-10-processi
6ccc24f5f136	99.8887	L4.1	project/verimem/ws1-marco-curato-dalle-aperture
bf1b2481c551	99.8887	L4.1	project/verimem/ws1-ab-l4punto1-a
b8460ba2ea5d	99.8798	gate	project/verimem/ws7-wheel-install-windows-success-2
bfaf6a7e6128	99.8778	L4.1	guardia/26-08
54628b3a0d6d	99.8768	gate	project/bilancio-giornata
ae86bb81ba8a	99.8670	L4.1	guardia/sigla-w7-collide
62c640210e41	99.8582	L4.1	project/verimem/registro-esame-22-celle
5c77b65862ad	99.8548	gate	project/verimem/cinquantasette-processi-python
090ba52d106c	99.8431		lab/ws1/prova-l41
3547be464a4d	99.8417	gate	q4/mcp5
12cc073d32c4	99.8384	gate	q4/mcp3
78117d73acc7	99.8341	gate	project/verimem/ws1-ci-sha
5ea68942bd90	99.8297	L3-coexistence	project/verimem/pubblicato-vs-repo
6c5916363ae4	99.8278	gate	q4/mcp4
55a8d410f619	99.7965	L4.1	guardia/26-08
12fa9cc4642b	99.7809	gate	project/verimem/ws7-mcp-tetto-spento
ae9d4f2f636b	99.7714	gate	project/verimem/ws3-ci-zero-verdi
dfe61ecc3f1e	99.7611	gate	project/verimem/il-verso-opposto-non-crolla
d196586dfe10	99.7098	L4.1	project/teclast-tbook11/driver-winusb
4785000d96bf	99.6894	L4.1	project/verimem/pubblicato-vs-repo
db0c2a9a627c	99.5967	gate	project/verimem/ws3-coda-svuotata-dal-fermo
d7efab7d0ee9	99.5872	gate	project/verimem/ws7-mcp-tetto-attivo
3e3516a4748b	99.5872	gate	project/verimem/ws7-ab-virgola
6661824304cc	99.5694	L4.1	project/verimem/audit-lettura-25-08
0888bb4a22d2	99.4505	L4.1	guardia/26-08
d310c0d3d8b4	99.4287	gate	project/verimem/cache-hf-riga-del-log
7e2e714a8e63	99.3872	L4.1	project/verimem/scambio-di-attribuzione-entra
0281226cd727	99.3800	L4.1	project/verimem/audit-lettura-25-08
3a41534377f2	99.3143	L4.1	project/verimem/nessun-tag-23-24
ea717048769d	99.2915	L4.1	project/verimem/ws1-audit-spia-accesa
9f12b5e63317	99.0700		project/claude-md-audit
# totale: 137
